'Time','ECG1'
'[22:00:00.000]',-0.01
'[22:00:00.004]',0
'[22:00:00.008]',-0.015
'[22:00:00.012]',-0.005
'[22:00:00.016]',0
'[22:00:00.020]',0
'[22:00:00.024]',-0.01
'[22:00:00.028]',0.015
'[22:00:00.032]',0
'[22:00:00.036]',0
'[22:00:00.040]',0
'[22:00:00.044]',0.005
'[22:00:00.048]',-0.01
'[22:00:00.052]',0.005
'[22:00:00.056]',-0.01
'[22:00:00.060]',-0.005
'[22:00:00.064]',-0.02
'[22:00:00.068]',-0.01
'[22:00:00.072]',-0.02
'[22:00:00.076]',-0.02
'[22:00:00.080]',-0.02
'[22:00:00.084]',-0.04
'[22:00:00.088]',-0.005
'[22:00:00.092]',-0.025
'[22:00:00.096]',-0.02
'[22:00:00.100]',-0.025
'[22:00:00.104]',-0.005
'[22:00:00.108]',-0.02
'[22:00:00.112]',-0.025
'[22:00:00.116]',-0.025
'[22:00:00.120]',-0.02
'[22:00:00.124]',-0.04
'[22:00:00.128]',-0.015
'[22:00:00.132]',-0.02
'[22:00:00.136]',-0.015
'[22:00:00.140]',-0.03
'[22:00:00.144]',-0.04
'[22:00:00.148]',-0.07
'[22:00:00.152]',-0.04
'[22:00:00.156]',-0.04
'[22:00:00.160]',-0.045
'[22:00:00.164]',-0.04
'[22:00:00.168]',-0.01
'[22:00:00.172]',-0.04
'[22:00:00.176]',-0.045
'[22:00:00.180]',-0.05
'[22:00:00.184]',-0.045
'[22:00:00.188]',-0.055
'[22:00:00.192]',-0.045
'[22:00:00.196]',-0.04
'[22:00:00.200]',-0.045
'[22:00:00.204]',-0.03
'[22:00:00.208]',-0.02
'[22:00:00.212]',-0.03
'[22:00:00.216]',-0.02
'[22:00:00.220]',-0.045
'[22:00:00.224]',-0.04
'[22:00:00.228]',-0.045
'[22:00:00.232]',-0.04
'[22:00:00.236]',-0.04
'[22:00:00.240]',-0.025
'[22:00:00.244]',0.005
'[22:00:00.248]',0.02
'[22:00:00.252]',0.02
'[22:00:00.256]',0.01
'[22:00:00.260]',0.005
'[22:00:00.264]',0.005
'[22:00:00.268]',-0.025
'[22:00:00.272]',-0.025
'[22:00:00.276]',-0.03
'[22:00:00.280]',-0.03
'[22:00:00.284]',-0.05
'[22:00:00.288]',-0.04
'[22:00:00.292]',-0.05
'[22:00:00.296]',-0.06
'[22:00:00.300]',-0.07
'[22:00:00.304]',-0.04
'[22:00:00.308]',-0.045
'[22:00:00.312]',-0.04
'[22:00:00.316]',-0.05
'[22:00:00.320]',-0.04
'[22:00:00.324]',-0.05
'[22:00:00.328]',-0.03
'[22:00:00.332]',-0.045
'[22:00:00.336]',-0.02
'[22:00:00.340]',-0.04
'[22:00:00.344]',-0.035
'[22:00:00.348]',-0.04
'[22:00:00.352]',-0.045
'[22:00:00.356]',-0.055
'[22:00:00.360]',-0.04
'[22:00:00.364]',-0.04
'[22:00:00.368]',-0.025
