'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.273
'0:00.004',-0.307
'0:00.008',-0.297
'0:00.012',-0.320
'0:00.016',-0.333
'0:00.020',-0.335
'0:00.024',-0.338
'0:00.028',-0.325
'0:00.032',-0.328
'0:00.036',-0.295
'0:00.040',-0.345
'0:00.044',-0.278
'0:00.048',-0.328
'0:00.052',-0.347
'0:00.056',-0.375
'0:00.060',-0.328
'0:00.064',-0.300
'0:00.068',-0.307
'0:00.072',-0.297
'0:00.076',-0.285
'0:00.080',-0.278
'0:00.084',-0.297
'0:00.088',-0.300
'0:00.092',-0.247
'0:00.096',-0.260
'0:00.100',-0.263
'0:00.104',-0.225
'0:00.108',-0.210
'0:00.112',-0.215
'0:00.116',-0.215
'0:00.120',-0.240
'0:00.124',-0.203
'0:00.128',-0.212
'0:00.132',-0.207
'0:00.136',-0.170
'0:00.140',-0.200
'0:00.144',-0.195
'0:00.148',-0.188
'0:00.152',-0.198
'0:00.156',-0.228
'0:00.160',-0.225
'0:00.164',-0.285
'0:00.168',-0.250
'0:00.172',-0.250
'0:00.176',-0.228
'0:00.180',-0.207
'0:00.184',-0.237
'0:00.188',-0.253
'0:00.192',-0.228
'0:00.196',-0.233
'0:00.200',-0.188
'0:00.204',-0.185
'0:00.208',-0.200
'0:00.212',-0.160
'0:00.216',-0.122
'0:00.220',-0.125
'0:00.224',-0.100
'0:00.228',-0.022
'0:00.232',0.095
'0:00.236',0.312
'0:00.240',0.588
'0:00.244',0.978
'0:00.248',1.353
'0:00.252',1.770
'0:00.256',2.112
'0:00.260',2.350
'0:00.264',2.283
'0:00.268',2.000
'0:00.272',1.500
'0:00.276',0.978
'0:00.280',0.537
'0:00.284',0.138
'0:00.288',-0.122
'0:00.292',-0.198
'0:00.296',-0.250
'0:00.300',-0.287
'0:00.304',-0.212
'0:00.308',-0.263
'0:00.312',-0.273
'0:00.316',-0.307
'0:00.320',-0.325
'0:00.324',-0.347
'0:00.328',-0.340
'0:00.332',-0.333
'0:00.336',-0.328
'0:00.340',-0.360
'0:00.344',-0.378
'0:00.348',-0.390
'0:00.352',-0.390
'0:00.356',-0.420
'0:00.360',-0.388
'0:00.364',-0.422
'0:00.368',-0.400
'0:00.372',-0.412
'0:00.376',-0.415
'0:00.380',-0.438
'0:00.384',-0.435
'0:00.388',-0.432
'0:00.392',-0.425
'0:00.396',-0.438
'0:00.400',-0.435
'0:00.404',-0.422
'0:00.408',-0.395
'0:00.412',-0.440
'0:00.416',-0.460
'0:00.420',-0.440
'0:00.424',-0.487
'0:00.428',-0.425
'0:00.432',-0.412
'0:00.436',-0.388
'0:00.440',-0.388
'0:00.444',-0.453
'0:00.448',-0.432
'0:00.452',-0.448
'0:00.456',-0.438
'0:00.460',-0.415
'0:00.464',-0.440
'0:00.468',-0.362
'0:00.472',-0.407
'0:00.476',-0.388
'0:00.480',-0.415
'0:00.484',-0.422
'0:00.488',-0.438
'0:00.492',-0.425
'0:00.496',-0.435
'0:00.500',-0.370
'0:00.504',-0.398
'0:00.508',-0.388
'0:00.512',-0.412
'0:00.516',-0.412
'0:00.520',-0.400
'0:00.524',-0.398
'0:00.528',-0.445
'0:00.532',-0.383
'0:00.536',-0.395
'0:00.540',-0.370
'0:00.544',-0.378
'0:00.548',-0.420
'0:00.552',-0.427
'0:00.556',-0.398
'0:00.560',-0.388
'0:00.564',-0.375
'0:00.568',-0.338
'0:00.572',-0.347
'0:00.576',-0.315
'0:00.580',-0.328
'0:00.584',-0.328
'0:00.588',-0.312
'0:00.592',-0.215
'0:00.596',-0.247
'0:00.600',-0.177
'0:00.604',-0.150
'0:00.608',-0.147
'0:00.612',-0.138
'0:00.616',-0.128
'0:00.620',-0.160
'0:00.624',-0.170
'0:00.628',-0.122
'0:00.632',-0.115
'0:00.636',-0.102
'0:00.640',-0.122
'0:00.644',-0.133
'0:00.648',-0.110
'0:00.652',-0.165
'0:00.656',-0.175
'0:00.660',-0.172
'0:00.664',-0.170
'0:00.668',-0.135
'0:00.672',-0.165
'0:00.676',-0.195
'0:00.680',-0.185
'0:00.684',-0.220
'0:00.688',-0.188
'0:00.692',-0.203
'0:00.696',-0.233
'0:00.700',-0.198
'0:00.704',-0.212
'0:00.708',-0.207
'0:00.712',-0.188
'0:00.716',-0.185
'0:00.720',-0.212
'0:00.724',-0.212
'0:00.728',-0.200
'0:00.732',-0.195
'0:00.736',-0.212
'0:00.740',-0.200
'0:00.744',-0.182
'0:00.748',-0.250
'0:00.752',-0.212
'0:00.756',-0.237
'0:00.760',-0.233
'0:00.764',-0.207
'0:00.768',-0.237
'0:00.772',-0.220
'0:00.776',-0.223
'0:00.780',-0.215
'0:00.784',-0.263
'0:00.788',-0.285
'0:00.792',-0.260
'0:00.796',-0.250
'0:00.800',-0.258
'0:00.804',-0.258
'0:00.808',-0.273
'0:00.812',-0.275
'0:00.816',-0.310
'0:00.820',-0.290
'0:00.824',-0.290
'0:00.828',-0.287
'0:00.832',-0.312
'0:00.836',-0.297
'0:00.840',-0.312
'0:00.844',-0.290
'0:00.848',-0.320
'0:00.852',-0.340
'0:00.856',-0.350
'0:00.860',-0.345
'0:00.864',-0.315
'0:00.868',-0.312
'0:00.872',-0.310
'0:00.876',-0.287
'0:00.880',-0.310
'0:00.884',-0.312
'0:00.888',-0.372
'0:00.892',-0.338
'0:00.896',-0.347
'0:00.900',-0.340
'0:00.904',-0.325
'0:00.908',-0.333
'0:00.912',-0.365
'0:00.916',-0.347
'0:00.920',-0.338
'0:00.924',-0.385
'0:00.928',-0.307
'0:00.932',-0.375
'0:00.936',-0.350
'0:00.940',-0.352
