'Time','ECG1'
'[11:48:00.000]',-0.275
'[11:48:00.008]',-0.245
'[11:48:00.016]',-0.285
'[11:48:00.023]',-0.265
'[11:48:00.031]',-0.235
'[11:48:00.039]',-0.215
'[11:48:00.047]',-0.165
'[11:48:00.055]',-0.165
'[11:48:00.063]',-0.145
'[11:48:00.070]',-0.095
'[11:48:00.078]',-0.085
'[11:48:00.086]',-0.045
'[11:48:00.094]',0.025
'[11:48:00.102]',0.085
'[11:48:00.109]',0.175
'[11:48:00.117]',0.215
'[11:48:00.125]',0.255
'[11:48:00.133]',0.305
'[11:48:00.141]',0.285
'[11:48:00.148]',0.285
'[11:48:00.156]',0.245
'[11:48:00.164]',0.175
'[11:48:00.172]',0.125
'[11:48:00.180]',0.015
'[11:48:00.188]',-0.075
'[11:48:00.195]',-0.125
'[11:48:00.203]',-0.175
'[11:48:00.211]',-0.205
'[11:48:00.219]',-0.195
'[11:48:00.227]',-0.205
'[11:48:00.234]',-0.165
'[11:48:00.242]',-0.185
'[11:48:00.250]',-0.185
'[11:48:00.258]',-0.185
'[11:48:00.266]',-0.195
'[11:48:00.273]',-0.195
'[11:48:00.281]',-0.185
'[11:48:00.289]',-0.165
'[11:48:00.297]',-0.145
'[11:48:00.305]',-0.135
'[11:48:00.313]',-0.145
'[11:48:00.320]',-0.155
'[11:48:00.328]',-0.185
'[11:48:00.336]',-0.185
'[11:48:00.344]',-0.165
'[11:48:00.352]',-0.175
'[11:48:00.359]',-0.145
'[11:48:00.367]',-0.165
'[11:48:00.375]',-0.165
'[11:48:00.383]',-0.175
'[11:48:00.391]',-0.185
'[11:48:00.398]',-0.195
'[11:48:00.406]',-0.195
'[11:48:00.414]',-0.175
'[11:48:00.422]',-0.165
'[11:48:00.430]',-0.165
'[11:48:00.438]',-0.175
'[11:48:00.445]',-0.175
'[11:48:00.453]',-0.185
'[11:48:00.461]',-0.205
'[11:48:00.469]',-0.195
'[11:48:00.477]',-0.185
'[11:48:00.484]',-0.165
'[11:48:00.492]',-0.135
'[11:48:00.500]',-0.115
'[11:48:00.508]',-0.065
'[11:48:00.516]',-0.075
'[11:48:00.523]',-0.075
'[11:48:00.531]',0.035
'[11:48:00.539]',0.005
'[11:48:00.547]',-0.065
'[11:48:00.555]',-0.085
'[11:48:00.563]',-0.105
'[11:48:00.570]',-0.155
'[11:48:00.578]',-0.175
'[11:48:00.586]',-0.195
'[11:48:00.594]',-0.185
'[11:48:00.602]',-0.175
'[11:48:00.609]',-0.145
'[11:48:00.617]',-0.155
'[11:48:00.625]',-0.165
'[11:48:00.633]',-0.175
'[11:48:00.641]',-0.175
'[11:48:00.648]',-0.155
'[11:48:00.656]',-0.335
'[11:48:00.664]',-0.675
'[11:48:00.672]',-0.345
'[11:48:00.680]',1275
'[11:48:00.688]',2465
'[11:48:00.695]',2895
'[11:48:00.703]',1805
'[11:48:00.711]',0.195
'[11:48:00.719]',-0.125
'[11:48:00.727]',-0.155
'[11:48:00.734]',-0.175
'[11:48:00.742]',-0.215
'[11:48:00.750]',-0.235
'[11:48:00.758]',-0.215
'[11:48:00.766]',-0.255
'[11:48:00.773]',-0.255
'[11:48:00.781]',-0.225
'[11:48:00.789]',-0.225
'[11:48:00.797]',-0.195
'[11:48:00.805]',-0.195
'[11:48:00.813]',-0.195
'[11:48:00.820]',-0.165
'[11:48:00.828]',-0.195
'[11:48:00.836]',-0.165
'[11:48:00.844]',-0.125
'[11:48:00.852]',-0.105
'[11:48:00.859]',-0.035
'[11:48:00.867]',-0.015
'[11:48:00.875]',0.025
'[11:48:00.883]',0.085
'[11:48:00.891]',0.105
'[11:48:00.898]',0.175
'[11:48:00.906]',0.235
'[11:48:00.914]',0.275
'[11:48:00.922]',0.355
'[11:48:00.930]',0.395
'[11:48:00.938]',0.395
'[11:48:00.945]',0.405
'[11:48:00.953]',0.295
'[11:48:00.961]',0.215
'[11:48:00.969]',0.145
'[11:48:00.977]',0.045
'[11:48:00.984]',0.015
'[11:48:00.992]',-0.045
'[11:48:01.000]',-0.075
'[11:48:01.008]',-0.085
'[11:48:01.016]',-0.135
'[11:48:01.023]',-0.135
'[11:48:01.031]',-0.115
'[11:48:01.039]',-0.105
'[11:48:01.047]',-0.085
'[11:48:01.055]',-0.085
'[11:48:01.063]',-0.095
'[11:48:01.070]',-0.095
'[11:48:01.078]',-0.115
'[11:48:01.086]',-0.105
'[11:48:01.094]',-0.105
'[11:48:01.102]',-0.085
'[11:48:01.109]',-0.065
'[11:48:01.117]',-0.085
'[11:48:01.125]',-0.095
'[11:48:01.133]',-0.075
'[11:48:01.141]',-0.105
'[11:48:01.148]',-0.105
'[11:48:01.156]',-0.105
'[11:48:01.164]',-0.095
'[11:48:01.172]',-0.085
'[11:48:01.180]',-0.085
'[11:48:01.188]',-0.105
'[11:48:01.195]',-0.105
'[11:48:01.203]',-0.115
'[11:48:01.211]',-0.125
'[11:48:01.219]',-0.125
'[11:48:01.227]',-0.115
'[11:48:01.234]',-0.105
'[11:48:01.242]',-0.115
'[11:48:01.250]',-0.105
'[11:48:01.258]',-0.115
'[11:48:01.266]',-0.135
'[11:48:01.273]',-0.145
'[11:48:01.281]',-0.125
'[11:48:01.289]',-0.115
'[11:48:01.297]',-0.095
'[11:48:01.305]',-0.095
'[11:48:01.313]',-0.095
'[11:48:01.320]',-0.105
'[11:48:01.328]',-0.105
'[11:48:01.336]',-0.105
'[11:48:01.344]',-0.055
'[11:48:01.352]',-0.015
'[11:48:01.359]',-0.025
'[11:48:01.367]',0.045
'[11:48:01.375]',0.075
'[11:48:01.383]',0.015
'[11:48:01.391]',-0.085
'[11:48:01.398]',-0.075
'[11:48:01.406]',-0.075
'[11:48:01.414]',-0.135
'[11:48:01.422]',-0.105
'[11:48:01.430]',-0.125
'[11:48:01.438]',-0.125
'[11:48:01.445]',-0.115
'[11:48:01.453]',-0.145
'[11:48:01.461]',-0.145
'[11:48:01.469]',-0.135
'[11:48:01.477]',-0.125
'[11:48:01.484]',-0.085
'[11:48:01.492]',-0.075
'[11:48:01.500]',-0.365
'[11:48:01.508]',-0.615
'[11:48:01.516]',-0.035
'[11:48:01.523]',1565
'[11:48:01.531]',2575
'[11:48:01.539]',2895
'[11:48:01.547]',1415
'[11:48:01.555]',0.065
'[11:48:01.563]',-0.085
'[11:48:01.570]',-0.115
'[11:48:01.578]',-0.185
'[11:48:01.586]',-0.205
'[11:48:01.594]',-0.205
'[11:48:01.602]',-0.215
'[11:48:01.609]',-0.185
'[11:48:01.617]',-0.195
'[11:48:01.625]',-0.195
'[11:48:01.633]',-0.185
'[11:48:01.641]',-0.205
'[11:48:01.648]',-0.205
'[11:48:01.656]',-0.185
'[11:48:01.664]',-0.185
'[11:48:01.672]',-0.135
'[11:48:01.680]',-0.125
'[11:48:01.688]',-0.115
'[11:48:01.695]',-0.085
'[11:48:01.703]',-0.085
'[11:48:01.711]',-0.045
'[11:48:01.719]',0.005
'[11:48:01.727]',0.055
'[11:48:01.734]',0.135
'[11:48:01.742]',0.175
'[11:48:01.750]',0.225
'[11:48:01.758]',0.285
'[11:48:01.766]',0.305
'[11:48:01.773]',0.345
'[11:48:01.781]',0.365
'[11:48:01.789]',0.355
'[11:48:01.797]',0.335
'[11:48:01.805]',0.245
'[11:48:01.813]',0.135
'[11:48:01.820]',0.055
'[11:48:01.828]',-0.065
'[11:48:01.836]',-0.115
'[11:48:01.844]',-0.135
'[11:48:01.852]',-0.165
'[11:48:01.859]',-0.135
'[11:48:01.867]',-0.155
'[11:48:01.875]',-0.145
'[11:48:01.883]',-0.155
'[11:48:01.891]',-0.175
'[11:48:01.898]',-0.175
'[11:48:01.906]',-0.165
'[11:48:01.914]',-0.155
'[11:48:01.922]',-0.135
'[11:48:01.930]',-0.135
'[11:48:01.938]',-0.145
'[11:48:01.945]',-0.135
'[11:48:01.953]',-0.155
'[11:48:01.961]',-0.175
'[11:48:01.969]',-0.165
'[11:48:01.977]',-0.155
'[11:48:01.984]',-0.135
'[11:48:01.992]',-0.135
'[11:48:02.000]',-0.135
'[11:48:02.008]',-0.145
'[11:48:02.016]',-0.165
'[11:48:02.023]',-0.165
'[11:48:02.031]',-0.175
'[11:48:02.039]',-0.165
'[11:48:02.047]',-0.155
'[11:48:02.055]',-0.165
'[11:48:02.063]',-0.175
'[11:48:02.070]',-0.165
'[11:48:02.078]',-0.195
'[11:48:02.086]',-0.205
'[11:48:02.094]',-0.185
'[11:48:02.102]',-0.175
'[11:48:02.109]',-0.165
'[11:48:02.117]',-0.165
'[11:48:02.125]',-0.165
'[11:48:02.133]',-0.185
'[11:48:02.141]',-0.185
'[11:48:02.148]',-0.185
'[11:48:02.156]',-0.165
'[11:48:02.164]',-0.155
'[11:48:02.172]',-0.145
'[11:48:02.180]',-0.145
'[11:48:02.188]',-0.135
'[11:48:02.195]',-0.135
'[11:48:02.203]',-0.135
'[11:48:02.211]',-0.085
'[11:48:02.219]',-0.065
'[11:48:02.227]',-0.015
'[11:48:02.234]',0.075
'[11:48:02.242]',-0.015
'[11:48:02.250]',-0.095
'[11:48:02.258]',-0.065
'[11:48:02.266]',-0.135
'[11:48:02.273]',-0.175
'[11:48:02.281]',-0.175
'[11:48:02.289]',-0.175
'[11:48:02.297]',-0.145
'[11:48:02.305]',-0.145
'[11:48:02.313]',-0.145
'[11:48:02.320]',-0.145
'[11:48:02.328]',-0.175
'[11:48:02.336]',-0.185
'[11:48:02.344]',-0.165
'[11:48:02.352]',-0.155
'[11:48:02.359]',-0.505
'[11:48:02.367]',-0.695
'[11:48:02.375]',-0.005
'[11:48:02.383]',1605
'[11:48:02.391]',2585
'[11:48:02.398]',2905
'[11:48:02.406]',1545
'[11:48:02.414]',0.025
'[11:48:02.422]',-0.125
'[11:48:02.430]',-0.145
'[11:48:02.438]',-0.205
'[11:48:02.445]',-0.225
'[11:48:02.453]',-0.265
'[11:48:02.461]',-0.275
'[11:48:02.469]',-0.275
'[11:48:02.477]',-0.265
'[11:48:02.484]',-0.245
'[11:48:02.492]',-0.245
'[11:48:02.500]',-0.245
'[11:48:02.508]',-0.225
'[11:48:02.516]',-0.235
'[11:48:02.523]',-0.215
'[11:48:02.531]',-0.185
'[11:48:02.539]',-0.185
'[11:48:02.547]',-0.125
'[11:48:02.555]',-0.125
'[11:48:02.563]',-0.085
'[11:48:02.570]',-0.055
'[11:48:02.578]',-0.035
'[11:48:02.586]',-0.015
'[11:48:02.594]',0.055
'[11:48:02.602]',0.125
'[11:48:02.609]',0.205
'[11:48:02.617]',0.245
'[11:48:02.625]',0.285
'[11:48:02.633]',0.325
'[11:48:02.641]',0.345
'[11:48:02.648]',0.325
'[11:48:02.656]',0.295
'[11:48:02.664]',0.245
'[11:48:02.672]',0.155
'[11:48:02.680]',0.085
'[11:48:02.688]',-0.015
'[11:48:02.695]',-0.095
'[11:48:02.703]',-0.145
'[11:48:02.711]',-0.205
'[11:48:02.719]',-0.195
'[11:48:02.727]',-0.175
'[11:48:02.734]',-0.175
'[11:48:02.742]',-0.175
'[11:48:02.750]',-0.185
'[11:48:02.758]',-0.185
'[11:48:02.766]',-0.195
'[11:48:02.773]',-0.215
'[11:48:02.781]',-0.195
'[11:48:02.789]',-0.185
'[11:48:02.797]',-0.185
'[11:48:02.805]',-0.175
'[11:48:02.813]',-0.175
'[11:48:02.820]',-0.175
'[11:48:02.828]',-0.185
'[11:48:02.836]',-0.215
'[11:48:02.844]',-0.205
'[11:48:02.852]',-0.185
'[11:48:02.859]',-0.175
'[11:48:02.867]',-0.175
'[11:48:02.875]',-0.185
'[11:48:02.883]',-0.195
'[11:48:02.891]',-0.215
'[11:48:02.898]',-0.225
'[11:48:02.906]',-0.215
'[11:48:02.914]',-0.205
'[11:48:02.922]',-0.195
'[11:48:02.930]',-0.195
'[11:48:02.938]',-0.215
'[11:48:02.945]',-0.205
'[11:48:02.953]',-0.225
'[11:48:02.961]',-0.225
'[11:48:02.969]',-0.215
'[11:48:02.977]',-0.215
'[11:48:02.984]',-0.175
'[11:48:02.992]',-0.165
'[11:48:03.000]',-0.165
'[11:48:03.008]',-0.135
'[11:48:03.016]',-0.125
'[11:48:03.023]',-0.115
'[11:48:03.031]',-0.065
'[11:48:03.039]',0.005
'[11:48:03.047]',-0.015
'[11:48:03.055]',-0.105
'[11:48:03.063]',-0.115
'[11:48:03.070]',-0.125
'[11:48:03.078]',-0.205
'[11:48:03.086]',-0.215
'[11:48:03.094]',-0.225
'[11:48:03.102]',-0.215
'[11:48:03.109]',-0.185
'[11:48:03.117]',-0.185
'[11:48:03.125]',-0.185
'[11:48:03.133]',-0.185
'[11:48:03.141]',-0.215
'[11:48:03.148]',-0.195
'[11:48:03.156]',-0.155
'[11:48:03.164]',-0.305
'[11:48:03.172]',-0.675
'[11:48:03.180]',-0.575
'[11:48:03.188]',0.765
'[11:48:03.195]',2195
'[11:48:03.203]',2855
'[11:48:03.211]',2415
'[11:48:03.219]',0.505
'[11:48:03.227]',-0.165
'[11:48:03.234]',-0.145
'[11:48:03.242]',-0.195
'[11:48:03.250]',-0.235
'[11:48:03.258]',-0.255
'[11:48:03.266]',-0.275
'[11:48:03.273]',-0.285
'[11:48:03.281]',-0.265
'[11:48:03.289]',-0.255
'[11:48:03.297]',-0.225
'[11:48:03.305]',-0.225
'[11:48:03.313]',-0.225
'[11:48:03.320]',-0.215
'[11:48:03.328]',-0.215
'[11:48:03.336]',-0.215
'[11:48:03.344]',-0.175
'[11:48:03.352]',-0.155
'[11:48:03.359]',-0.095
'[11:48:03.367]',-0.085
'[11:48:03.375]',-0.045
'[11:48:03.383]',-0.005
'[11:48:03.391]',0.025
'[11:48:03.398]',0.075
'[11:48:03.406]',0.155
'[11:48:03.414]',0.215
'[11:48:03.422]',0.285
'[11:48:03.430]',0.335
'[11:48:03.438]',0.365
'[11:48:03.445]',0.395
'[11:48:03.453]',0.365
'[11:48:03.461]',0.325
'[11:48:03.469]',0.255
'[11:48:03.477]',0.185
'[11:48:03.484]',0.115
'[11:48:03.492]',0.005
'[11:48:03.500]',-0.035
'[11:48:03.508]',-0.095
'[11:48:03.516]',-0.145
'[11:48:03.523]',-0.155
'[11:48:03.531]',-0.145
'[11:48:03.539]',-0.155
'[11:48:03.547]',-0.125
'[11:48:03.555]',-0.125
'[11:48:03.563]',-0.135
'[11:48:03.570]',-0.125
'[11:48:03.578]',-0.145
'[11:48:03.586]',-0.135
'[11:48:03.594]',-0.135
'[11:48:03.602]',-0.135
'[11:48:03.609]',-0.095
'[11:48:03.617]',-0.095
'[11:48:03.625]',-0.095
'[11:48:03.633]',-0.095
'[11:48:03.641]',-0.125
'[11:48:03.648]',-0.115
'[11:48:03.656]',-0.105
'[11:48:03.664]',-0.115
'[11:48:03.672]',-0.095
'[11:48:03.680]',-0.105
'[11:48:03.688]',-0.115
