Time,Ecg1
19:35:18.315,-538.0
19:35:18.355,-673.0
19:35:18.395,-637.0
19:35:18.435,-547.0
19:35:18.475,-513.0
19:35:18.515,-537.0
19:35:18.555,-481.0
19:35:18.595,-321.0
19:35:18.635,-156.0
19:35:18.675,-271.0
19:35:18.715,-378.0
19:35:18.755,1527.0
19:35:18.795,1363.0
19:35:18.835,357.0
19:35:18.875,-88.0
19:35:18.915,-146.0
19:35:18.955,38.0
19:35:18.995,35.0
19:35:19.035,-263.0
19:35:19.075,-466.0
19:35:19.115,-562.0
19:35:19.155,-569.0
19:35:19.195,-521.0
19:35:19.235,-450.0
19:35:19.275,-452.0
19:35:19.315,-449.0
19:35:19.355,-458.0
19:35:19.395,-385.0
19:35:19.435,-112.0
19:35:19.475,-125.0
19:35:19.515,-187.0
19:35:19.555,-446.0
19:35:19.595,767.0
19:35:19.635,273.0
19:35:19.675,-23.0
19:35:19.715,-47.0
19:35:19.755,200.0
19:35:19.795,364.0
19:35:19.835,154.0
19:35:19.875,-94.0
19:35:19.915,-205.0
19:35:19.955,-213.0
19:35:19.995,-165.0
19:35:20.035,-140.0
19:35:20.075,-131.0
19:35:20.115,-186.0
19:35:20.155,-159.0
19:35:20.195,-129.0
19:35:20.235,-56.0
19:35:20.275,176.0
19:35:20.315,-24.0
19:35:20.355,-116.0
19:35:20.395,62.0
19:35:20.435,849.0
19:35:20.475,348.0
19:35:20.515,119.0
19:35:20.555,148.0
19:35:20.595,348.0
19:35:20.635,468.0
19:35:20.675,203.0
19:35:20.715,-40.0
19:35:20.755,-157.0
19:35:20.795,-190.0
19:35:20.835,-167.0
19:35:20.875,-99.0
19:35:20.915,-126.0
19:35:20.955,-126.0
19:35:20.995,-149.0
19:35:21.035,-131.0
19:35:21.075,-38.0
19:35:21.115,178.0
19:35:21.155,-16.0
19:35:21.195,-139.0
19:35:21.235,266.0
19:35:21.275,843.0
19:35:21.315,343.0
19:35:21.355,109.0
19:35:21.395,124.0
19:35:21.435,382.0
19:35:21.475,427.0
19:35:21.515,153.0
19:35:21.555,-117.0
19:35:21.595,-262.0
19:35:21.635,-338.0
19:35:21.675,-300.0
19:35:21.715,-262.0
19:35:21.755,-205.0
19:35:21.795,-215.0
19:35:21.835,-193.0
19:35:21.875,-182.0
19:35:21.915,-27.0
19:35:21.955,-118.0
19:35:21.995,-198.0
19:35:22.035,-461.0
19:35:22.075,578.0
19:35:22.115,163.0
19:35:22.155,-46.0
19:35:22.195,-104.0
19:35:22.235,71.0
19:35:22.275,237.0
19:35:20.187,-51.0
19:35:20.227,-377.0
19:35:20.267,-501.0
19:35:20.307,-494.0
19:35:20.347,-422.0
19:35:20.387,-337.0
19:35:20.427,-331.0
19:35:20.467,-352.0
19:35:20.507,-341.0
19:35:20.547,-267.0
19:35:20.587,-91.0
19:35:20.627,-102.0
19:35:20.667,-186.0
19:35:20.707,-586.0
19:35:20.747,1225.0
19:35:20.787,651.0
19:35:20.827,178.0
19:35:20.867,36.0
19:35:20.907,202.0
19:35:20.947,396.0
19:35:20.987,218.0
19:35:21.027,-54.0
19:35:21.067,-181.0
19:35:21.107,-229.0
19:35:21.147,-190.0
19:35:21.187,-91.0
19:35:21.227,-89.0
19:35:21.267,-122.0
19:35:21.307,-160.0
19:35:21.347,-155.0
19:35:21.387,-129.0
19:35:21.427,15.0
19:35:21.467,53.0
19:35:21.507,-46.0
19:35:21.547,-504.0
19:35:21.587,1685.0
19:35:21.627,1129.0
19:35:21.667,404.0
19:35:21.707,159.0
19:35:21.747,259.0
19:35:21.787,486.0
19:35:21.827,361.0
19:35:21.867,86.0
19:35:21.907,-105.0
19:35:21.947,-188.0
19:35:21.987,-159.0
19:35:22.027,-164.0
19:35:22.067,-206.0
19:35:22.107,-249.0
19:35:22.147,-268.0
19:35:22.187,-210.0
19:35:22.227,-143.0
19:35:22.267,-62.0
19:35:22.307,186.0
19:35:22.347,11.0
19:35:22.387,-82.0
19:35:22.427,11.0
19:35:22.467,846.0
19:35:22.507,447.0
19:35:22.547,218.0
19:35:22.587,169.0
19:35:22.627,391.0
19:35:22.667,464.0
19:35:22.707,202.0
19:35:22.747,-81.0
19:35:22.787,-274.0
19:35:22.827,-319.0
19:35:22.867,-317.0
19:35:22.907,-245.0
19:35:22.947,-222.0
19:35:22.987,-251.0
